aweme_id,cid,text,create_time,user_nickname,user_avatar,reply_comment_total,ip_label
7268594825438563595,7268632215913792295,喝了能升仙[捂脸][捂脸][捂脸],1692360325,"超人不会飞,",39d442e839b72a18ac47b15684ff3cd5.jpeg,0,广东
7268594825438563595,7268678288695477049,阿蛋呀[泣不成声],1692371055,68t,a75f0bb4cc3a26d087ed8c46dbb86dc2.jpeg,0,广东
7268594825438563595,7269884617598534415,清一色进口货[赞],1692651973,那个女孩:,63e6c6ab96641876a825666f10f3863d.jpeg,0,北京
7268594825438563595,7268609282436891448,鞋油[尬笑],1692354986,夜来哭叫声,1406235e73edf1a79256ed388a1cc65e.jpeg,0,广东
7268594825438563595,7268811770956202771,咱就说敢不敢把位置发出来？我们也想送[看],1692402141,张跑跑　　　　　　　 　　　💋🩴,544687d3c612c220af89b0738ba0c208.jpeg,0,河北
7268594825438563595,7268596895747310371,咱就这条件，先凑合着用[捂脸][捂脸][捂脸],1692352106,我会的花样多,4d809d17bc2b5cc53a623a5a4668d795.jpeg,0,广东
7268594825438563595,7268648882475893519,哎 欧舒丹都不认识  果然是张全蛋[泣不成声],1692364205,Mikey🍿,6ac0ea22fa640261239ef3c5f2454400.jpeg,0,北京
7268594825438563595,7268595953308173097,张全蛋,1692351887,兜头顶飞你🛠,8053abb31ca8f8ad999d13a929dbf24b.jpeg,0,广东
7268594825438563595,7268605338717881123,像个憨憨[泣不成声][泣不成声][泣不成声],1692354072,認生若如初見,c8b0cdc9eacbdf6dfc089e0c4410d662.jpeg,0,广东
7268594825438563595,7268599188819493667,真成富婆了 显眼包[看],1692352639,🏮喜洋洋🧨,e87a184244902fc647038087bd9cb304.jpeg,0,河南
7268594825438563595,7268576437413102388,真羡慕富婆的生活,1692352358,只想静静,75820d874b9f94a75398ccfa23b51581.jpeg,0,江苏
7268594825438563595,7268629929297183545,6，大冤种锅，鞋油，还得是你[机智],1692359793,嗯嗯嗯。,0f73d16c5f5b2cffb1455272d7f135fd.jpeg,0,河南
7268594825438563595,7268653143620092713,张小憨憨。咖啡机是12级群的嗯嗯嗯送的,1692365195,小野猫ᰔᩚ ⁵¹⁰⁷⁴,3d213f039aa7d146acc896eff0cae81a.jpeg,2,四川
7268594825438563595,7268637973818164029,还有呢，还没看够，多发发[泪奔][泪奔][泪奔][泪奔][泪奔],1692361671,⭐️人王疋虫⭐️⁵¹⁰⁷⁴,b5b3db531f6ccadcfcb4247e09dde348.jpeg,0,江苏
7268594825438563595,7351604639127601920,给朕一个太子,1711678847,嬴政,04ad3f3a2900abe5555fb97713c568e8.jpeg,0,上海
7268594825438563595,7268839594383196980,粉丝想的真周到啊，先保护好手喝点咖啡精神直播，一旦情绪失控暴躁喊完了喝口水润润嗓子继续[捂脸],1692408616,石头,3cbfb982f004b6cd5a2a549aa4dbe87b.jpeg,0,山西
7268594825438563595,7268596718747697931,给悍妇整不会了[捂脸][捂脸][捂脸],1692352063,秋灬,0c9061088245038efe9434bb49bbc96f.jpeg,0,四川
7268594825438563595,7268689419283890978,VOSS玻璃瓶天然矿泉水YYDS,1692373654,杨光的快乐生活,e35dcbe619cabc565c9f57c0f6e25122.jpeg,2,陕西
7268594825438563595,7268603287414375222,张夹子过上幸福美好的生活状态中[偷笑],1692353597,桑果哩,39d66fd84278d49e8e74a113c184efb6.jpeg,0,云南
