aweme_id,cid,text,create_time,user_nickname,user_avatar,reply_comment_total,ip_label
7550784823570353466,7550892174407123769,俩个人逛街他和牵头🐑一样,1758079088,才圆圆⁸⁰⁰⁸,f5c762d99c535aca3ff0f5ff7eb84b0b.jpeg,23,吉林
7550784823570353466,7580358055091553081,妹妹，我能治好你的社恐[黄脸干杯],1764939646,钟期,6c43a22992be82b5e5d7758dc373fe6c.jpeg,0,陕西
7550784823570353466,7565226567951401754,你才1.5呀，男朋友2.57,1761416586,魔婴,d809536ed3b4a96fa8c63f35f1909003.jpeg,0,福建
7550784823570353466,7550821295555822372,给你预测一下，你以后的男朋友不超过一米七[捂脸],1758062592,丢了幸福的虎,65f6e06e4d6554c48592d4f1e2dd429b.jpeg,1,重庆
7550784823570353466,7550847170666038074,我看小号涨粉了，全蛋昨天是啥时候开播了吗？,1758068610,✨罗某某✨,6733740b6c13d522e6ce4607a67ec2bb.jpeg,2,广东
7550784823570353466,7550992875694867252,这是春天到了，应该是啊猫,1758102535,楊你↗一輩子,6bcd123d3b342337b4b1af9db0318fac.jpeg,0,广东
7550784823570353466,7550845771189486394,哈哈哈哈[捂脸],1758068283,君墨垚,9e118e70bd39a9b021173464fe70cf4c.jpeg,5,广西
7550784823570353466,7557432600172757819,铁蛋，你是找巨人症？,1759601902,社会主义接班人,4619014b619ad16d90b0aed28cb92c60.jpeg,0,江苏
7550784823570353466,7550785761357775662,咋的。准备摘星星还是月亮,1758054316,小野猫ᰔᩚ ⁵¹⁰⁷⁴,3d213f039aa7d146acc896eff0cae81a.jpeg,0,四川
7550784823570353466,7581657041979294521,你说的是黄蚂蚱吗[捂脸][捂脸],1765242092,徒帝,ddeefba2abe906e5a3d90b94b2caa864.jpeg,0,黑龙江
7550784823570353466,7550837237572485927,185[机智],1758066297,微醺,ec7f3c244dea1eef48edc326add9d12a.jpeg,1,云南
7550784823570353466,7550843655625753402,太高没用,1758067793,蕭蕭,4473592714ee3883179e4c7c838cc76c.jpeg,0,吉林
7550784823570353466,7551466707438584611,最后一一声哼啥呢[捂脸],1758212861,🌈琳琅,5a922630052cf638f3a5985725d73972.jpeg,0,山西
7550784823570353466,7550850046431822652,寨主 这是想男人睡不着吗[捂脸][捂脸][捂脸][捂脸],1758069279,（幸福美满）,8d657dbccbf3b1828331275bbc8d1c0a.jpeg,0,广东
7550784823570353466,7579943169692648232,我185行么[酷拽]上不了厅堂，下得了厨房[泣不成声],1764843050,Bubbles,dd7ad254be10b3314892e5fd1eb3673d.jpeg,0,山东
7550784823570353466,7553678800443343675,180+有腹肌行不[微笑],1758727900,  ,f9035eb8c3f3f7c51819836406fb307c.jpeg,1,江苏
7550784823570353466,7550862286002471706,亲嘴不得搭楼梯啊[捂脸],1758072130,LK,3885b65c43c2ab894948483dbc1201e5.jpeg,1,广东
